PNODE_ID,PNODE_TYPE,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT,CB_NODE_FLAG,MAX_CB_MW,MAX_CB_MW_EFF_START_DT,MAX_CB_MW_EFF_END_DT,MAX_CB_MW_EFF_START_DT_GMT,MAX_CB_MW_EFF_END_DT_GMT
LENZIE_GNODE211,,LENZIE_GNODE211,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
RAINBOW_LNODE-3,,RAINBOW_LNODE-3,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DESRT PK_GNODEIT,,DESRT PK_GNODEIT,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
STNHOUSE_LNODE01,,STNHOUSE_LNODE01,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
TONOPAH_LNODE-2,,TONOPAH_LNODE-2,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
LVCOGEN_GNODE 2,,LVCOGEN_GNODE 2,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
VALVIEW_LNODE-2,,VALVIEW_LNODE-2,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
VEGAS_LNODE-1,,VEGAS_LNODE-1,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
CLARK_GNODE11,,CLARK_GNODE11,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
CARSONN_LNODE31,,CARSONN_LNODE31,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
GLENDAL_LNODE37,,GLENDAL_LNODE37,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
