INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2023-06-01T21:30:00-00:00,2023-06-01T21:45:00-00:00,2023-06-01,15,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,21.91302,3,1
2023-06-01T22:30:00-00:00,2023-06-01T22:45:00-00:00,2023-06-01,16,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,20.33899,3,1
2023-06-01T23:30:00-00:00,2023-06-01T23:45:00-00:00,2023-06-01,17,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,21.02583,3,1
2023-06-02T00:30:00-00:00,2023-06-02T00:45:00-00:00,2023-06-01,18,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,13.95589,3,1
2023-06-02T01:30:00-00:00,2023-06-02T01:45:00-00:00,2023-06-01,19,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.69753,3,1
2023-06-02T02:30:00-00:00,2023-06-02T02:45:00-00:00,2023-06-01,20,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,29.84845,3,1
2023-06-02T03:30:00-00:00,2023-06-02T03:45:00-00:00,2023-06-01,21,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,32.56247,3,1
2023-06-02T04:30:00-00:00,2023-06-02T04:45:00-00:00,2023-06-01,22,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,35.14261,3,1
2023-06-02T05:30:00-00:00,2023-06-02T05:45:00-00:00,2023-06-01,23,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.04927,3,1
2023-06-02T06:30:00-00:00,2023-06-02T06:45:00-00:00,2023-06-01,24,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,23.54286,3,1
2023-06-01T08:45:00-00:00,2023-06-01T09:00:00-00:00,2023-06-01,02,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,24.70875,4,1
2023-06-01T09:45:00-00:00,2023-06-01T10:00:00-00:00,2023-06-01,03,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,25.30005,4,1
2023-06-01T10:45:00-00:00,2023-06-01T11:00:00-00:00,2023-06-01,04,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,25.8967,4,1
2023-06-01T11:45:00-00:00,2023-06-01T12:00:00-00:00,2023-06-01,05,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,28.54006,4,1
2023-06-01T12:45:00-00:00,2023-06-01T13:00:00-00:00,2023-06-01,06,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,34.72804,4,1
2023-06-01T13:45:00-00:00,2023-06-01T14:00:00-00:00,2023-06-01,07,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,23.77309,4,1
2023-06-01T14:45:00-00:00,2023-06-01T15:00:00-00:00,2023-06-01,08,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,11.44887,4,1
2023-06-01T15:45:00-00:00,2023-06-01T16:00:00-00:00,2023-06-01,09,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,13.66046,4,1
2023-06-01T16:45:00-00:00,2023-06-01T17:00:00-00:00,2023-06-01,10,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,13.37872,4,1
2023-06-01T17:45:00-00:00,2023-06-01T18:00:00-00:00,2023-06-01,11,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,15.96799,4,1
2023-06-01T18:45:00-00:00,2023-06-01T19:00:00-00:00,2023-06-01,12,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,18.16941,4,1
2023-06-01T19:45:00-00:00,2023-06-01T20:00:00-00:00,2023-06-01,13,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.29593,4,1
2023-06-01T20:45:00-00:00,2023-06-01T21:00:00-00:00,2023-06-01,14,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,16.87341,4,1
2023-06-01T21:45:00-00:00,2023-06-01T22:00:00-00:00,2023-06-01,15,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,18.11488,4,1
2023-06-01T22:45:00-00:00,2023-06-01T23:00:00-00:00,2023-06-01,16,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,19.12088,4,1
2023-06-01T23:45:00-00:00,2023-06-02T00:00:00-00:00,2023-06-01,17,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.87325,4,1
2023-06-02T00:45:00-00:00,2023-06-02T01:00:00-00:00,2023-06-01,18,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,18.40572,4,1
2023-06-02T01:45:00-00:00,2023-06-02T02:00:00-00:00,2023-06-01,19,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,35.35509,4,1
2023-06-02T02:45:00-00:00,2023-06-02T03:00:00-00:00,2023-06-01,20,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,31.7455,4,1
2023-06-02T03:45:00-00:00,2023-06-02T04:00:00-00:00,2023-06-01,21,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,38.61054,4,1
2023-06-02T04:45:00-00:00,2023-06-02T05:00:00-00:00,2023-06-01,22,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,28.78513,4,1
2023-06-02T05:45:00-00:00,2023-06-02T06:00:00-00:00,2023-06-01,23,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.01057,4,1
2023-06-02T06:45:00-00:00,2023-06-02T07:00:00-00:00,2023-06-01,24,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,22.40852,4,1
2023-06-01T08:00:00-00:00,2023-06-01T08:15:00-00:00,2023-06-01,02,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,-0.0012,1,2
2023-06-01T09:00:00-00:00,2023-06-01T09:15:00-00:00,2023-06-01,03,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,-0.0012,1,2
2023-06-01T10:00:00-00:00,2023-06-01T10:15:00-00:00,2023-06-01,04,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,-0.0012,1,2
2023-06-01T11:00:00-00:00,2023-06-01T11:15:00-00:00,2023-06-01,05,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,-0.0012,1,2
2023-06-01T12:00:00-00:00,2023-06-01T12:15:00-00:00,2023-06-01,06,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,0,1,2
2023-06-01T13:00:00-00:00,2023-06-01T13:15:00-00:00,2023-06-01,07,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,0,1,2
2023-06-01T14:00:00-00:00,2023-06-01T14:15:00-00:00,2023-06-01,08,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,0.0012,1,2
2023-06-01T15:00:00-00:00,2023-06-01T15:15:00-00:00,2023-06-01,09,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,0.0012,1,2
2023-06-01T16:00:00-00:00,2023-06-01T16:15:00-00:00,2023-06-01,10,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,0.0012,1,2
2023-06-01T17:00:00-00:00,2023-06-01T17:15:00-00:00,2023-06-01,11,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,0.0012,1,2
2023-06-01T18:00:00-00:00,2023-06-01T18:15:00-00:00,2023-06-01,12,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,MCC,LMP_CONG_PRC,MIL1_3_PASGNODE,ALL,1,0.0012,1,2
